2022-04-26 19:47:45.352 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.360 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.376 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.408 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.416 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.432 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.456 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.464 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.488 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.504 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.528 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.544 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.552 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.568 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.592 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.616 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.624 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.648 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.656 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.672 | INFO     | model:Sensor:163 - ---->Signal:2
2022-04-26 19:47:45.672 | INFO     | model:Sensor:164 - ---->Attention:0
2022-04-26 19:47:45.672 | INFO     | model:Sensor:165 - ---->Meditation:0
2022-04-26 19:47:45.672 | WARNING  | model:Sensor:166 - <---------------------------->
2022-04-26 19:47:45.672 | WARNING  | model:Sensor:173 - 512
2022-04-26 19:47:45.736 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.736 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.736 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.736 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.736 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.760 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.776 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.792 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.808 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.823 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.848 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.864 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.872 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.896 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.912 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.928 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.952 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.959 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:45.976 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.003 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.020 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.040 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.056 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.064 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.088 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.104 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.120 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.152 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.160 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.208 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.209 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.209 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.233 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.249 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.284 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.298 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.310 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.322 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.339 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.362 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.374 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.387 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.410 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.422 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.440 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.464 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.476 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.496 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.518 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.530 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.546 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.566 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.584 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.603 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.614 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.632 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.657 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.669 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.681 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.692 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.717 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.729 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.740 | WARNING  | model:Sensor:85 - Sensor
